Metric,Returns,Log Returns
Count,2679.0,2679.0
Mean,0.00011900781003147054,2.2868493220738555e-05
Std Dev,0.013850736077360367,0.013880081634473946
Min,-0.1322334712327945,-0.14183257657698722
25%,-0.007407423140134262,-0.007434994341669847
Median,0.0002282823815780155,0.00022825632911994875
75%,0.007528791772604793,0.0075005918671054266
Max,0.09081795543542825,0.0869278326490411
Skewness,-0.20587019039170076,-0.38382964847876216
Kurtosis,6.156961052964887,7.0682993037571915
Jarque-Bera Stat,4231.558897361739,5618.275069902047
Jarque-Bera p-value,0.0,0.0
