Feature,Importance
SP500_return,0.22075151808383456
VIX_return,0.07982033135285861
SMA_ratio_200,0.040792099163823266
SMA_ratio_100,0.03906034968551121
Volume_SMA_5,0.03634069528481291
Bollinger_bandwidth,0.023871313332726567
Close_Open_diff,0.02225180914004616
HLCO_range,0.020497006794413054
VIX_close,0.020152818828820526
SMA_ratio_50,0.019590963330796428
Volatility_2d,0.017854327583236917
High_Low_spread,0.016742197093382274
Return_3d,0.016666649417223036
US10Y_return,0.01573732537681404
SP500_close,0.01550968201029047
Volatility_20d,0.015036181460899193
Volatility_3d,0.014717630952295398
Volatility_5d,0.013887628141345896
USDHKD_return,0.013617860621028363
US10Y_close,0.013186916035814749
Volume,0.012784394235981298
OBV,0.01257522018720769
MACD_signal,0.011764167494929341
Momentum_20d,0.011762223302292076
HSCEI_return,0.011590494771031955
RSI_14,0.011274214526906521
Volatility_10d,0.01023160009984523
Volume_SMA_20,0.009812772426532928
Return_2d,0.009702553223786827
Bollinger_lower,0.009688978937283767
MACD_hist,0.009548294422701904
Volume_ratio_20,0.009542200048029744
Return_20d,0.009272872830771226
OBV_ratio_20,0.008978817331298121
SMA_200,0.00849679997849425
EMA_50,0.00847549609488273
Volume_change,0.008450312271898817
SMA_ratio_10,0.008319683167508597
ATR_14,0.008241877373126443
USDHKD_close,0.008238417093460243
Volume_ratio_5,0.00759837652234801
Stoch_%D,0.007302102256232389
HSCEI_close,0.006904445878595331
SMA_ratio_5,0.006854465193768557
Return_5d,0.006329625557282106
MACD,0.006209140946759245
SMA_ratio_20,0.005900404680837002
Stoch_%K,0.005630521872939749
Momentum_5d,0.005609283395153526
Momentum_10d,0.0055485335320476364
SMA_50,0.00504668316903819
Return_10d,0.004948736792568489
SMA_20,0.004726913402725744
Bollinger_upper,0.004709950651951056
EMA_26,0.0036761513725789697
SMA_100,0.0036622654178771444
Returns,0.00365028073837256
SMA_5,0.0036091603777187843
Return_1d,0.003580957529768204
Log_Returns,0.0035666688759164074
SMA_10,0.003391890104512031
Bollinger_percent,0.0031986923051082632
EMA_12,0.002920349035422064
Open,0.0025541922156872027
Low,0.0024807086265525653
EMA_5,0.0020743161042059022
High,0.0017782254687777354
Close,0.0017002644673118808
