Null,F-stat,p-value
HSCEI does NOT Granger-cause HSI,1.2120904586830379,0.2709452955092937
USDHKD does NOT Granger-cause HSI,0.9279089236836148,0.33543042686003566
SP500 does NOT Granger-cause HSI,173.92969096281868,2.2024671693198218e-39
HSI does NOT Granger-cause HSCEI,0.3303614350538319,0.5654594107083133
USDHKD does NOT Granger-cause HSCEI,0.62991157972485,0.42740678626172224
SP500 does NOT Granger-cause HSCEI,138.4374000624089,9.513690261254095e-32
HSI does NOT Granger-cause USDHKD,1.6364369311093507,0.20084504286091656
HSCEI does NOT Granger-cause USDHKD,0.43211431456220184,0.5109686002917293
SP500 does NOT Granger-cause USDHKD,2.661151224901396,0.10285812108524135
HSI does NOT Granger-cause SP500,4.795807249497122,0.028552354226041195
HSCEI does NOT Granger-cause SP500,3.183189483489625,0.07443001560464817
USDHKD does NOT Granger-cause SP500,0.09968637030089435,0.752212987865529
